step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.60835,0.85294,0.71355,0.63797
2,0.69752,0.83892,,
3,1.33589,0.81218,,
4,1.07386,0.83696,,
5,1.06315,0.84475,,
6,1.12286,0.78114,,
7,0.61663,0.86838,,
8,1.06538,0.8141,,
9,0.90505,0.78125,,
10,0.47817,0.87797,,
11,0.79236,0.85915,0.46935,0.64549
12,0.6806,0.83282,,
13,0.83008,0.81765,,
14,0.49209,0.8663,,
15,0.8374,0.8141,,
16,0.6634,0.83969,,
17,0.43807,0.88571,,
18,0.584,0.85068,,
19,0.96774,0.75731,,
20,0.39948,0.88819,,
21,0.46274,0.85484,0.34367,0.76065
22,0.66806,0.82639,,
23,0.7616,0.83562,,
24,0.70643,0.80402,,
25,0.80475,0.80085,,
26,0.56328,0.85714,,
27,0.21433,0.93548,,
28,0.29705,0.91525,,
29,0.48916,0.8604,,
30,0.48386,0.87258,,
31,0.61611,0.84024,0.36471,0.68769
32,0.46927,0.88298,,
33,0.23574,0.93289,,
34,0.41247,0.88492,,
35,0.34891,0.89118,,
36,0.7085,0.86713,,
37,0.33237,0.90106,,
38,0.58976,0.87736,,
39,0.484,0.87847,,
40,0.2894,0.90172,,
41,0.59097,0.87288,0.17786,0.7787
42,0.54239,0.87833,,
43,0.40181,0.88116,,
44,0.44815,0.90763,,
45,0.3392,0.91111,,
46,0.69551,0.82836,,
47,0.74946,0.78683,,
48,0.19649,0.94118,,
49,0.40995,0.88112,,
50,0.54219,0.89078,,
51,0.23173,0.93098,0.30965,0.63136
52,0.29971,0.91579,,
53,0.25858,0.92308,,
54,0.40744,0.87552,,
55,0.40095,0.89722,,
56,0.28952,0.91441,,
57,0.14868,0.9638,,
58,0.50596,0.89017,,
59,0.26445,0.93824,,
60,0.27178,0.93506,,
61,0.13599,0.96454,0.22304,0.73821
62,0.29778,0.91379,,
63,0.1774,0.93725,,
64,0.70613,0.78947,,
65,0.1731,0.93822,,
66,0.10065,0.97163,,
67,0.38689,0.91126,,
68,0.19115,0.93569,,
69,0.26987,0.92054,,
70,0.11666,0.96512,,
71,0.12303,0.96678,0.2411,0.70597
72,0.35782,0.91131,,
73,0.10351,0.96444,,
74,0.17765,0.93658,,
75,0.58639,0.84951,,
76,0.05005,0.99301,,
77,0.45297,0.89024,,
78,0.47119,0.88839,,
79,0.54851,0.86392,,
80,0.10173,0.96154,,
81,0.13591,0.96396,0.28578,0.72161
82,0.12836,0.95732,,
83,0.1283,0.95484,,
84,0.13847,0.96279,,
85,0.11946,0.94824,,
86,0.32861,0.88325,,
87,0.12389,0.95918,,
88,0.55216,0.85113,,
89,0.19742,0.94587,,
90,0.14873,0.95455,,
91,0.51211,0.86395,0.33486,0.72055
92,0.30658,0.91689,,
93,0.41801,0.89702,,
94,0.40622,0.90104,,
95,0.18382,0.93889,,
96,0.23868,0.92629,,
97,0.38339,0.90541,,
98,0.33441,0.9085,,
99,0.11783,0.96854,,
100,0.149,0.96296,,
101,0.11112,0.95522,0.21275,0.72051
102,0.33521,0.90933,,
103,0.33439,0.92537,,
104,0.27849,0.94406,,
105,0.19439,0.94854,,
106,0.18717,0.94203,,
107,0.1502,0.95652,,
108,0.14749,0.95908,,
109,0.1148,0.96532,,
110,0.19247,0.94083,,
111,0.24075,0.95652,0.23496,0.69091
112,0.4602,0.87789,,
113,0.3665,0.92593,,
114,0.13259,0.9596,,
115,0.24678,0.93182,,
116,0.03032,0.99291,,
117,0.03871,0.99206,,
118,0.16762,0.95833,,
